Column,DataType_Match,DataType_df1,DataType_df2,Min_Match,Max_Match,Mean_Match
V288,True,float16,float16,True,False,False
id_03,True,float16,float16,False,False,True
V229,True,float16,float16,False,False,False
V112,True,float16,float16,True,False,False
V85,True,float16,float16,True,False,False
V173,True,float16,float16,True,False,True
V3,True,float16,float16,True,False,False
V304,True,float16,float16,True,False,False
V80,True,float16,float16,True,False,False
V81,True,float16,float16,True,False,False
V150,True,float32,float32,True,False,False
card3_card6_interaction,True,object,object,N/A,N/A,N/A
V45,True,float16,float16,True,False,False
V49,True,float16,float16,True,False,False
V43,True,float16,float16,True,False,False
V84,True,float16,float16,True,False,False
M6,True,object,object,N/A,N/A,N/A
V279,True,float16,float16,True,False,False
V323,True,float16,float16,True,False,False
V158,True,float16,float16,True,False,False
V280,True,float16,float16,True,False,False
V243,True,float16,float16,True,False,False
V44,True,float16,float16,True,False,False
V4,True,float16,float16,True,False,False
V264,True,float32,float32,True,False,False
V107,True,float16,float16,False,True,False
V90,True,float16,float16,True,False,False
C4,True,float32,float32,True,False,False
V36,True,float16,float16,True,False,False
C11,True,float32,float32,True,False,False
id_26,True,float16,float16,True,True,True
id_31,True,object,object,N/A,N/A,N/A
V312,True,float32,float32,True,False,False
V337,True,float32,float32,True,False,False
P_emaildomain_is_AOL,True,float64,float64,True,False,True
V188,True,float16,float16,True,False,False
V244,True,float16,float16,True,False,False
V321,True,float32,float32,True,False,False
card2,True,float16,float16,True,True,False
V221,True,float16,float16,True,False,False
V250,True,float16,float16,True,False,False
V336,True,float32,float32,True,False,False
V56,True,float16,float16,True,True,False
V70,True,float16,float16,True,False,False
V74,True,float16,float16,True,False,False
V187,True,float16,float16,True,False,False
V125,True,float16,float16,True,False,False
V95,True,float16,float16,True,False,False
V186,True,float16,float16,True,False,False
V286,True,float16,float16,True,False,True
V20,True,float16,float16,True,False,False
V261,True,float16,float16,True,False,False
V116,True,float16,float16,True,False,False
id_36,True,object,object,N/A,N/A,N/A
D1,True,float16,float16,True,False,False
V67,True,float16,float16,True,False,False
V72,True,float16,float16,True,True,False
V305,True,float16,float16,True,True,False
V289,True,float16,float16,True,False,False
V208,True,float32,float32,True,False,False
V136,True,float32,float32,True,False,False
V14,True,float16,float16,True,True,False
V137,True,float32,float32,True,False,False
card1_addr1_P_emaildomain_interaction,True,object,object,N/A,N/A,N/A
V238,True,float16,float16,True,False,True
V326,True,float16,float16,True,True,False
V149,True,float16,float16,True,False,True
V308,True,float32,float32,True,False,False
V122,True,float16,float16,True,False,False
V294,True,float16,float16,True,False,False
card1_card2_interaction,True,object,object,N/A,N/A,N/A
V38,True,float16,float16,True,False,False
V211,True,float32,float32,True,False,False
V242,True,float16,float16,True,False,False
V51,True,float16,float16,True,False,False
V7,True,float16,float16,True,False,False
V301,True,float16,float16,True,False,True
V148,True,float16,float16,True,False,True
C6,True,float32,float32,True,False,False
C5,True,float16,float16,True,False,False
V18,True,float16,float16,True,False,False
V277,True,float32,float32,True,False,False
V94,True,float16,float16,True,True,False
M7,True,object,object,N/A,N/A,N/A
V10,True,float16,float16,True,False,False
V266,True,float32,float32,True,False,False
P_emaildomain_is_Google,True,int64,int64,True,True,False
V182,True,float16,float16,True,False,False
V108,True,float16,float16,True,False,False
V23,True,float16,float16,True,False,False
V222,True,float16,float16,True,False,False
id_23,True,object,object,N/A,N/A,N/A
id_10,True,float16,float16,True,True,True
V61,True,float16,float16,True,True,False
V2,True,float16,float16,True,False,False
R_emaildomain_type,True,object,object,N/A,N/A,N/A
V268,True,float32,float32,True,False,False
id_38,True,object,object,N/A,N/A,N/A
R_emaildomain_is_AOL,True,float64,float64,True,False,True
V129,True,float32,float32,True,False,False
V313,True,float32,float32,True,False,False
